
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 21:53:13,451] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:13,729] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,441] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,883] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,097] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,420] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,633] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,974] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,185] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,712] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1810: loss 1.2521, time 41.43ms, mfu 8.55%
iter 1820: loss 1.2664, time 41.12ms, mfu 8.60%
iter 1830: loss 1.2573, time 42.25ms, mfu 8.62%
iter 1840: loss 1.2568, time 40.79ms, mfu 8.67%
iter 1850: loss 1.2586, time 40.68ms, mfu 8.72%
iter 1860: loss 1.2690, time 41.05ms, mfu 8.76%
iter 1870: loss 1.2388, time 40.65ms, mfu 8.80%
iter 1880: loss 1.2657, time 42.27ms, mfu 8.80%
iter 1890: loss 1.2817, time 40.66ms, mfu 8.84%
iter 1900: loss 1.2323, time 41.07ms, mfu 8.86%
iter 1910: loss 1.2707, time 40.73ms, mfu 8.89%
iter 1920: loss 1.2722, time 42.04ms, mfu 8.89%
iter 1930: loss 1.2441, time 42.45ms, mfu 8.88%
iter 1940: loss 1.2365, time 42.23ms, mfu 8.87%
iter 1950: loss 1.2313, time 42.35ms, mfu 8.86%
iter 1960: loss 1.2618, time 42.28ms, mfu 8.86%
iter 1970: loss 1.2499, time 42.27ms, mfu 8.85%
iter 1980: loss 1.2607, time 42.05ms, mfu 8.85%
iter 1990: loss 1.2541, time 40.70ms, mfu 8.88%
step 2000: train loss 1.1530, val loss 1.4696
saving checkpoint to perp
iter 2000: loss 1.2412, time 4954.45ms, mfu 8.00%
iter 2010: loss 1.2345, time 40.83ms, mfu 8.12%
iter 2020: loss 1.2226, time 41.04ms, mfu 8.21%
iter 2030: loss 1.2548, time 41.17ms, mfu 8.30%
iter 2040: loss 1.2378, time 42.37ms, mfu 8.35%
iter 2050: loss 1.2067, time 40.79ms, mfu 8.43%
iter 2060: loss 1.2099, time 40.86ms, mfu 8.49%
iter 2070: loss 1.2292, time 40.99ms, mfu 8.55%
iter 2080: loss 1.2219, time 42.24ms, mfu 8.58%
iter 2090: loss 1.2397, time 45.23ms, mfu 8.55%
iter 2100: loss 1.2286, time 40.82ms, mfu 8.60%
iter 2110: loss 1.2280, time 40.83ms, mfu 8.66%
iter 2120: loss 1.2370, time 40.93ms, mfu 8.70%
