
step 0: train loss 4.2874, val loss 4.2823
[2023-10-20 13:05:31,093] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:31,837] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:32,961] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,173] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,621] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,836] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,158] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,371] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,693] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,906] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,229] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 2260: loss 1.2612, time 40.65ms, mfu 8.29%
iter 2270: loss 1.3021, time 40.71ms, mfu 8.37%
iter 2280: loss 1.2503, time 41.00ms, mfu 8.45%
iter 2290: loss 1.2904, time 40.63ms, mfu 8.52%
iter 2300: loss 1.2858, time 40.54ms, mfu 8.59%
iter 2310: loss 1.2555, time 41.14ms, mfu 8.63%
iter 2320: loss 1.2618, time 40.50ms, mfu 8.69%
iter 2330: loss 1.2572, time 40.51ms, mfu 8.74%
iter 2340: loss 1.2780, time 40.86ms, mfu 8.78%
iter 2350: loss 1.2654, time 40.60ms, mfu 8.82%
iter 2360: loss 1.2644, time 41.07ms, mfu 8.84%
iter 2370: loss 1.2547, time 40.63ms, mfu 8.88%
iter 2380: loss 1.2461, time 40.58ms, mfu 8.91%
iter 2390: loss 1.2343, time 40.70ms, mfu 8.93%
iter 2400: loss 1.2434, time 41.04ms, mfu 8.95%
iter 2410: loss 1.2262, time 40.71ms, mfu 8.97%
iter 2420: loss 1.2435, time 41.06ms, mfu 8.98%
iter 2430: loss 1.2133, time 40.54ms, mfu 9.00%
iter 2440: loss 1.2222, time 40.67ms, mfu 9.02%
iter 2450: loss 1.2390, time 40.57ms, mfu 9.03%
iter 2460: loss 1.2504, time 40.90ms, mfu 9.04%
iter 2470: loss 1.2479, time 40.60ms, mfu 9.05%
iter 2480: loss 1.2504, time 40.71ms, mfu 9.06%
iter 2490: loss 1.2167, time 40.53ms, mfu 9.08%
step 2500: train loss 1.1478, val loss 1.4555
saving checkpoint to perp
iter 2500: loss 1.2497, time 4957.39ms, mfu 8.18%
iter 2510: loss 1.2363, time 40.67ms, mfu 8.28%
iter 2520: loss 1.2264, time 43.83ms, mfu 8.30%
iter 2530: loss 1.2217, time 40.60ms, mfu 8.39%
iter 2540: loss 1.2193, time 40.59ms, mfu 8.47%
iter 2550: loss 1.2436, time 40.67ms, mfu 8.54%
iter 2560: loss 1.2191, time 40.65ms, mfu 8.60%
iter 2570: loss 1.2525, time 40.66ms, mfu 8.65%
iter 2580: loss 1.2551, time 40.57ms, mfu 8.71%
iter 2590: loss 1.2421, time 40.97ms, mfu 8.75%
iter 2600: loss 1.2337, time 40.53ms, mfu 8.79%
iter 2610: loss 1.2170, time 41.06ms, mfu 8.82%
iter 2620: loss 1.2114, time 40.65ms, mfu 8.85%
iter 2630: loss 1.1901, time 40.70ms, mfu 8.88%
iter 2640: loss 1.2169, time 40.60ms, mfu 8.91%
iter 2650: loss 1.2452, time 40.66ms, mfu 8.94%
iter 2660: loss 1.2173, time 42.79ms, mfu 8.92%
iter 2670: loss 1.2031, time 40.63ms, mfu 8.94%
iter 2680: loss 1.2231, time 40.64ms, mfu 8.96%
iter 2690: loss 1.2186, time 40.81ms, mfu 8.98%
iter 2700: loss 1.2022, time 40.66ms, mfu 9.00%
iter 2710: loss 1.2293, time 41.18ms, mfu 9.00%
iter 2720: loss 1.2194, time 40.61ms, mfu 9.02%
iter 2730: loss 1.2340, time 40.64ms, mfu 9.04%
iter 2740: loss 1.2004, time 40.67ms, mfu 9.05%
step 2750: train loss 1.1203, val loss 1.4513
saving checkpoint to perp
iter 2750: loss 1.2081, time 4958.85ms, mfu 8.15%
iter 2760: loss 1.2006, time 40.56ms, mfu 8.26%
iter 2770: loss 1.1940, time 40.64ms, mfu 8.35%
iter 2780: loss 1.2014, time 40.54ms, mfu 8.43%
iter 2790: loss 1.2147, time 40.75ms, mfu 8.50%
iter 2800: loss 1.1988, time 40.60ms, mfu 8.57%
iter 2810: loss 1.2231, time 40.54ms, mfu 8.63%
iter 2820: loss 1.2186, time 40.67ms, mfu 8.69%
iter 2830: loss 1.2081, time 40.76ms, mfu 8.73%
iter 2840: loss 1.1572, time 40.69ms, mfu 8.77%
iter 2850: loss 1.2122, time 40.63ms, mfu 8.81%
iter 2860: loss 1.2027, time 40.72ms, mfu 8.85%
iter 2870: loss 1.1940, time 40.73ms, mfu 8.88%
iter 2880: loss 1.2296, time 40.68ms, mfu 8.91%
iter 2890: loss 1.1928, time 40.52ms, mfu 8.93%
iter 2900: loss 1.1736, time 40.63ms, mfu 8.96%
iter 2910: loss 1.2250, time 40.64ms, mfu 8.98%
iter 2920: loss 1.2006, time 40.65ms, mfu 9.00%
iter 2930: loss 1.1887, time 40.64ms, mfu 9.01%
iter 2940: loss 1.1777, time 40.75ms, mfu 9.03%
iter 2950: loss 1.2011, time 40.53ms, mfu 9.04%
iter 2960: loss 1.1903, time 40.63ms, mfu 9.06%
iter 2970: loss 1.1770, time 40.76ms, mfu 9.07%
iter 2980: loss 1.1803, time 40.51ms, mfu 9.08%
iter 2990: loss 1.1807, time 40.69ms, mfu 9.09%
step 3000: train loss 1.0904, val loss 1.4424
saving checkpoint to perp
iter 3000: loss 1.1762, time 4941.32ms, mfu 8.19%
iter 3010: loss 1.1877, time 40.51ms, mfu 8.29%
iter 3020: loss 1.1944, time 40.65ms, mfu 8.37%
iter 3030: loss 1.1928, time 40.68ms, mfu 8.45%
iter 3040: loss 1.2206, time 40.68ms, mfu 8.52%
iter 3050: loss 1.1763, time 40.60ms, mfu 8.59%
iter 3060: loss 1.1840, time 40.65ms, mfu 8.65%
iter 3070: loss 1.2010, time 40.55ms, mfu 8.70%
iter 3080: loss 1.1887, time 40.69ms, mfu 8.75%
iter 3090: loss 1.1823, time 40.55ms, mfu 8.79%
iter 3100: loss 1.1935, time 40.57ms, mfu 8.83%
iter 3110: loss 1.1594, time 40.73ms, mfu 8.86%
iter 3120: loss 1.1880, time 40.74ms, mfu 8.89%
iter 3130: loss 1.1837, time 40.65ms, mfu 8.92%
iter 3140: loss 1.1745, time 40.58ms, mfu 8.94%
iter 3150: loss 1.1940, time 40.73ms, mfu 8.97%
iter 3160: loss 1.2227, time 40.71ms, mfu 8.98%
iter 3170: loss 1.1588, time 40.57ms, mfu 9.00%
iter 3180: loss 1.1573, time 40.74ms, mfu 9.02%
