
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 14:53:42,819] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,078] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,471] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,687] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,134] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,347] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,876] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,403] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,720] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,930] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1910: loss 1.3704, time 41.46ms, mfu 8.72%
iter 1920: loss 1.3701, time 41.40ms, mfu 8.75%
iter 1930: loss 1.3369, time 41.36ms, mfu 8.77%
iter 1940: loss 1.3341, time 41.35ms, mfu 8.80%
iter 1950: loss 1.3351, time 41.78ms, mfu 8.81%
iter 1960: loss 1.3568, time 41.79ms, mfu 8.82%
iter 1970: loss 1.3422, time 41.46ms, mfu 8.84%
iter 1980: loss 1.3555, time 41.33ms, mfu 8.86%
iter 1990: loss 1.3469, time 41.46ms, mfu 8.87%
step 2000: train loss 1.2563, val loss 1.5165
saving checkpoint to perp
iter 2000: loss 1.3424, time 4936.25ms, mfu 7.99%
iter 2010: loss 1.3356, time 43.04ms, mfu 8.06%
iter 2020: loss 1.3277, time 41.53ms, mfu 8.15%
iter 2030: loss 1.3612, time 41.90ms, mfu 8.22%
iter 2040: loss 1.3459, time 41.53ms, mfu 8.30%
iter 2050: loss 1.3099, time 41.58ms, mfu 8.36%
iter 2060: loss 1.3083, time 41.56ms, mfu 8.42%
iter 2070: loss 1.3338, time 43.19ms, mfu 8.44%
iter 2080: loss 1.3154, time 43.25ms, mfu 8.46%
iter 2090: loss 1.3523, time 41.57ms, mfu 8.51%
iter 2100: loss 1.3323, time 42.09ms, mfu 8.55%
iter 2110: loss 1.3302, time 41.54ms, mfu 8.59%
iter 2120: loss 1.3340, time 42.95ms, mfu 8.60%
iter 2130: loss 1.3387, time 43.05ms, mfu 8.60%
iter 2140: loss 1.3419, time 43.10ms, mfu 8.61%
iter 2150: loss 1.3304, time 41.52ms, mfu 8.64%
iter 2160: loss 1.3656, time 41.66ms, mfu 8.67%
iter 2170: loss 1.3452, time 41.76ms, mfu 8.70%
iter 2180: loss 1.3217, time 42.64ms, mfu 8.70%
iter 2190: loss 1.3128, time 41.33ms, mfu 8.73%
iter 2200: loss 1.3369, time 41.64ms, mfu 8.76%
iter 2210: loss 1.3183, time 41.36ms, mfu 8.78%
iter 2220: loss 1.3236, time 41.36ms, mfu 8.80%
iter 2230: loss 1.3179, time 41.50ms, mfu 8.82%
iter 2240: loss 1.3376, time 41.64ms, mfu 8.83%
step 2250: train loss 1.2301, val loss 1.4985
saving checkpoint to perp
iter 2250: loss 1.3274, time 4988.80ms, mfu 7.96%
iter 2260: loss 1.3055, time 42.23ms, mfu 8.04%
iter 2270: loss 1.3648, time 41.52ms, mfu 8.14%
iter 2280: loss 1.2974, time 43.17ms, mfu 8.19%
iter 2290: loss 1.3434, time 41.84ms, mfu 8.26%
iter 2300: loss 1.3418, time 41.86ms, mfu 8.32%
iter 2310: loss 1.3112, time 41.54ms, mfu 8.39%
iter 2320: loss 1.3209, time 41.53ms, mfu 8.45%
iter 2330: loss 1.3242, time 41.61ms, mfu 8.50%
iter 2340: loss 1.3353, time 41.69ms, mfu 8.54%
iter 2350: loss 1.3241, time 41.55ms, mfu 8.58%
iter 2360: loss 1.3239, time 41.56ms, mfu 8.62%
iter 2370: loss 1.3096, time 41.54ms, mfu 8.66%
iter 2380: loss 1.3052, time 42.96ms, mfu 8.66%
iter 2390: loss 1.2901, time 41.66ms, mfu 8.69%
iter 2400: loss 1.3091, time 41.54ms, mfu 8.72%
iter 2410: loss 1.2906, time 41.75ms, mfu 8.74%
iter 2420: loss 1.2941, time 41.54ms, mfu 8.76%
iter 2430: loss 1.2785, time 42.99ms, mfu 8.75%
iter 2440: loss 1.2751, time 41.87ms, mfu 8.77%
iter 2450: loss 1.2956, time 41.87ms, mfu 8.78%
iter 2460: loss 1.3069, time 41.72ms, mfu 8.79%
iter 2470: loss 1.3109, time 41.52ms, mfu 8.81%
iter 2480: loss 1.3031, time 41.56ms, mfu 8.83%
iter 2490: loss 1.2860, time 41.47ms, mfu 8.84%
step 2500: train loss 1.2022, val loss 1.4849
saving checkpoint to perp
iter 2500: loss 1.3050, time 4936.53ms, mfu 7.97%
iter 2510: loss 1.3059, time 41.95ms, mfu 8.06%
iter 2520: loss 1.2913, time 41.51ms, mfu 8.15%
iter 2530: loss 1.2797, time 41.81ms, mfu 8.23%
iter 2540: loss 1.2772, time 41.54ms, mfu 8.30%
iter 2550: loss 1.3079, time 41.61ms, mfu 8.37%
iter 2560: loss 1.2791, time 41.80ms, mfu 8.42%
iter 2570: loss 1.3074, time 41.56ms, mfu 8.48%
iter 2580: loss 1.3049, time 41.77ms, mfu 8.52%
iter 2590: loss 1.3033, time 41.74ms, mfu 8.56%
iter 2600: loss 1.2847, time 41.95ms, mfu 8.59%
iter 2610: loss 1.2793, time 41.93ms, mfu 8.62%
iter 2620: loss 1.2740, time 41.60ms, mfu 8.66%
iter 2630: loss 1.2438, time 41.48ms, mfu 8.69%
iter 2640: loss 1.2719, time 41.49ms, mfu 8.72%
iter 2650: loss 1.3194, time 41.72ms, mfu 8.74%
iter 2660: loss 1.2705, time 41.60ms, mfu 8.76%
iter 2670: loss 1.2659, time 42.87ms, mfu 8.75%
iter 2680: loss 1.2830, time 41.83ms, mfu 8.77%
iter 2690: loss 1.2797, time 41.91ms, mfu 8.78%
iter 2700: loss 1.2619, time 41.64ms, mfu 8.80%
iter 2710: loss 1.3026, time 41.70ms, mfu 8.81%
iter 2720: loss 1.2852, time 41.55ms, mfu 8.83%
iter 2730: loss 1.2927, time 41.75ms, mfu 8.84%
iter 2740: loss 1.2676, time 41.52ms, mfu 8.85%
step 2750: train loss 1.1818, val loss 1.4813
saving checkpoint to perp
iter 2750: loss 1.2736, time 4949.00ms, mfu 7.97%
iter 2760: loss 1.2705, time 43.08ms, mfu 8.04%
iter 2770: loss 1.2539, time 42.92ms, mfu 8.11%
