
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:47:26,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:26,847] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,238] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,907] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,450] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,988] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,534] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,753] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1370: loss 1.4346, time 40.93ms, mfu 8.73%
iter 1380: loss 1.4392, time 40.93ms, mfu 8.77%
iter 1390: loss 1.4361, time 40.93ms, mfu 8.80%
iter 1400: loss 1.4451, time 40.91ms, mfu 8.83%
iter 1410: loss 1.4214, time 40.91ms, mfu 8.86%
iter 1420: loss 1.4549, time 40.95ms, mfu 8.88%
iter 1430: loss 1.4172, time 40.95ms, mfu 8.90%
iter 1440: loss 1.4333, time 40.94ms, mfu 8.92%
iter 1450: loss 1.4103, time 40.91ms, mfu 8.94%
iter 1460: loss 1.4275, time 40.98ms, mfu 8.96%
iter 1470: loss 1.3974, time 40.90ms, mfu 8.97%
iter 1480: loss 1.4010, time 40.94ms, mfu 8.99%
iter 1490: loss 1.4139, time 40.97ms, mfu 9.00%
step 1500: train loss 1.3186, val loss 1.5339
saving checkpoint to perp
iter 1500: loss 1.3681, time 5006.81ms, mfu 8.10%
iter 1510: loss 1.4265, time 42.58ms, mfu 8.17%
iter 1520: loss 1.3988, time 41.14ms, mfu 8.26%
iter 1530: loss 1.4481, time 41.28ms, mfu 8.33%
iter 1540: loss 1.3698, time 42.65ms, mfu 8.38%
iter 1550: loss 1.4139, time 42.53ms, mfu 8.41%
iter 1560: loss 1.3976, time 41.30ms, mfu 8.47%
iter 1570: loss 1.4206, time 42.55ms, mfu 8.50%
iter 1580: loss 1.3884, time 41.17ms, mfu 8.56%
iter 1590: loss 1.3762, time 42.41ms, mfu 8.58%
iter 1600: loss 1.3777, time 45.81ms, mfu 8.54%
iter 1610: loss 1.4133, time 42.52ms, mfu 8.56%
iter 1620: loss 1.3608, time 41.24ms, mfu 8.61%
iter 1630: loss 1.4003, time 42.54ms, mfu 8.62%
iter 1640: loss 1.3814, time 41.48ms, mfu 8.66%
iter 1650: loss 1.3579, time 45.71ms, mfu 8.61%
iter 1660: loss 1.4018, time 42.59ms, mfu 8.62%
iter 1670: loss 1.3852, time 42.47ms, mfu 8.64%
iter 1680: loss 1.3874, time 41.11ms, mfu 8.68%
iter 1690: loss 1.3885, time 41.17ms, mfu 8.72%
iter 1700: loss 1.3719, time 42.55ms, mfu 8.72%
iter 1710: loss 1.3778, time 42.45ms, mfu 8.73%
iter 1720: loss 1.3747, time 42.60ms, mfu 8.73%
iter 1730: loss 1.3781, time 41.17ms, mfu 8.76%
iter 1740: loss 1.3600, time 42.62ms, mfu 8.76%
step 1750: train loss 1.2804, val loss 1.5085
saving checkpoint to perp
iter 1750: loss 1.3720, time 5016.53ms, mfu 7.89%
iter 1760: loss 1.3810, time 42.60ms, mfu 7.98%
iter 1770: loss 1.3931, time 41.03ms, mfu 8.09%
iter 1780: loss 1.3836, time 41.38ms, mfu 8.18%
iter 1790: loss 1.3742, time 40.92ms, mfu 8.27%
iter 1800: loss 1.3688, time 40.93ms, mfu 8.35%
iter 1810: loss 1.3502, time 42.53ms, mfu 8.40%
iter 1820: loss 1.3573, time 41.02ms, mfu 8.46%
iter 1830: loss 1.3614, time 40.93ms, mfu 8.53%
iter 1840: loss 1.3517, time 41.14ms, mfu 8.58%
iter 1850: loss 1.3506, time 40.93ms, mfu 8.63%
iter 1860: loss 1.3814, time 41.62ms, mfu 8.67%
iter 1870: loss 1.3313, time 41.99ms, mfu 8.69%
iter 1880: loss 1.3650, time 40.94ms, mfu 8.73%
iter 1890: loss 1.3788, time 40.92ms, mfu 8.77%
iter 1900: loss 1.3328, time 40.94ms, mfu 8.80%
iter 1910: loss 1.3732, time 40.90ms, mfu 8.83%
iter 1920: loss 1.3693, time 40.92ms, mfu 8.86%
iter 1930: loss 1.3500, time 40.92ms, mfu 8.88%
iter 1940: loss 1.3289, time 40.90ms, mfu 8.91%
iter 1950: loss 1.3312, time 40.94ms, mfu 8.93%
iter 1960: loss 1.3547, time 40.92ms, mfu 8.94%
